raceId,driverId,lap,position,time,milliseconds
841,17,48,5,1:30.122,90122
841,17,49,5,1:29.713,89713
841,17,50,5,1:29.600,89600
841,17,51,5,1:30.165,90165
841,17,52,5,1:29.825,89825
841,17,53,5,1:29.996,89996
841,17,54,5,1:29.695,89695
841,17,55,5,1:31.124,91124
841,17,56,5,1:30.203,90203
841,17,57,5,1:30.472,90472
841,17,58,5,1:32.279,92279
841,808,1,4,1:42.835,102835
841,808,2,4,1:34.363,94363
841,808,3,4,1:33.962,93962
841,808,4,4,1:33.729,93729
841,808,5,4,1:33.725,93725
841,808,6,4,1:33.573,93573
841,808,7,4,1:33.364,93364
841,808,8,4,1:33.315,93315
841,808,9,4,1:33.357,93357
841,808,10,4,1:33.615,93615
841,808,11,3,1:33.611,93611
841,808,12,3,1:34.156,94156
841,808,13,3,1:33.698,93698
841,808,14,2,1:33.152,93152
841,808,15,2,1:33.470,93470
841,808,16,4,1:53.795,113795
841,808,17,5,1:39.863,99863
841,808,18,4,1:32.045,92045
841,808,19,4,1:31.960,91960
841,808,20,4,1:32.214,92214
841,808,21,4,1:31.849,91849
841,808,22,4,1:32.341,92341
841,808,23,4,1:31.922,91922
841,808,24,4,1:32.517,92517
841,808,25,4,1:33.574,93574
841,808,26,3,1:31.929,91929
841,808,27,3,1:31.275,91275
841,808,28,3,1:31.263,91263
841,808,29,3,1:31.107,91107
841,808,30,3,1:31.479,91479
841,808,31,3,1:31.762,91762
841,808,32,3,1:32.260,92260
841,808,33,3,1:31.809,91809
841,808,34,3,1:31.413,91413
841,808,35,3,1:31.950,91950
841,808,36,5,1:54.357,114357
841,808,37,5,1:39.620,99620
841,808,38,5,1:31.265,91265
841,808,39,5,1:30.662,90662
841,808,40,5,1:30.713,90713
841,808,41,4,1:30.867,90867
841,808,42,3,1:30.525,90525
841,808,43,3,1:30.782,90782
841,808,44,3,1:30.856,90856
841,808,45,3,1:30.826,90826
841,808,46,3,1:31.333,91333
841,808,47,3,1:30.696,90696
841,808,48,3,1:30.885,90885
841,808,49,3,1:31.167,91167
841,808,50,3,1:30.671,90671
841,808,51,3,1:30.755,90755
841,808,52,3,1:30.158,90158
841,808,53,3,1:30.655,90655
841,808,54,3,1:30.631,90631
841,808,55,3,1:30.064,90064
841,808,56,3,1:30.192,90192
841,808,57,3,1:30.120,90120
841,808,58,3,1:30.767,90767
841,13,1,5,1:44.196,104196
841,13,2,5,1:34.485,94485
841,13,3,5,1:35.664,95664
841,13,4,5,1:33.900,93900
841,13,5,5,1:34.712,94712
841,13,6,5,1:33.700,93700
841,13,7,5,1:34.004,94004
841,13,8,5,1:33.833,93833
841,13,9,5,1:33.869,93869
841,13,10,5,1:34.490,94490
841,13,11,6,1:36.699,96699
841,13,12,5,1:34.662,94662
841,13,13,11,1:54.060,114060
841,13,14,12,1:40.250,100250
841,13,15,10,1:32.958,92958
841,13,16,7,1:32.749,92749
841,13,17,7,1:32.433,92433
841,13,18,7,1:33.492,93492
841,13,19,6,1:32.831,92831
841,13,20,6,1:32.661,92661
841,13,21,6,1:32.289,92289
841,13,22,6,1:32.321,92321
841,13,23,6,1:32.541,92541
841,13,24,6,1:32.450,92450
841,13,25,6,1:32.854,92854
841,13,26,5,1:32.724,92724
841,13,27,4,1:33.076,93076
841,13,28,4,1:32.914,92914
841,13,29,4,1:33.194,93194
841,13,30,4,1:33.265,93265
841,13,31,8,1:53.740,113740
841,13,32,7,1:39.973,99973
841,13,33,7,1:31.877,91877
841,13,34,7,1:31.644,91644
841,13,35,7,1:31.601,91601
841,13,36,7,1:31.884,91884
841,13,37,6,1:31.259,91259
841,13,38,6,1:31.263,91263
841,13,39,6,1:31.806,91806
841,13,40,6,1:31.291,91291
841,13,41,6,1:31.207,91207
841,13,42,6,1:31.093,91093
841,13,43,6,1:31.640,91640
841,13,44,6,1:31.490,91490
841,13,45,6,1:31.331,91331
841,13,46,6,1:31.378,91378
841,13,47,6,1:31.541,91541
841,13,48,10,1:53.006,113006
841,13,49,10,1:36.913,96913
841,13,50,10,1:29.451,89451
841,13,51,10,1:30.094,90094
841,13,52,10,1:32.456,92456
841,13,53,10,1:32.819,92819
841,13,54,9,1:30.070,90070
841,13,55,9,1:28.947,88947
841,13,56,9,1:29.770,89770
841,13,57,9,1:30.803,90803
841,13,58,9,1:31.822,91822
841,18,1,6,1:44.722,104722
841,18,2,6,1:34.139,94139
841,18,3,6,1:35.756,95756
841,18,4,6,1:33.818,93818
841,18,5,6,1:35.278,95278
841,18,6,6,1:33.291,93291
841,18,7,6,1:33.959,93959
841,18,8,6,1:34.021,94021
841,18,9,6,1:33.577,93577
841,18,10,6,1:34.653,94653
841,18,11,4,1:34.396,94396
841,18,12,4,1:33.199,93199
841,18,13,4,1:33.453,93453
841,18,14,4,1:33.615,93615
841,18,15,3,1:33.802,93802
841,18,16,3,1:34.897,94897
841,18,17,4,1:48.909,108909
841,18,18,6,1:40.864,100864
841,18,19,9,1:54.427,114427
841,18,20,12,1:39.911,99911
841,18,21,12,1:32.187,92187
841,18,22,12,1:32.018,92018
841,18,23,8,1:32.706,92706
841,18,24,8,1:31.732,91732
841,18,25,7,1:31.968,91968
841,18,26,7,1:31.173,91173
841,18,27,7,1:31.160,91160
841,18,28,7,1:31.143,91143
841,18,29,7,1:30.796,90796
841,18,30,7,1:31.672,91672
841,18,31,6,1:31.055,91055
841,18,32,6,1:31.265,91265
841,18,33,6,1:31.508,91508
841,18,34,6,1:31.615,91615
841,18,35,6,1:31.388,91388
841,18,36,6,1:31.459,91459
841,18,37,7,1:50.438,110438
841,18,38,7,1:39.626,99626
841,18,39,7,1:31.056,91056
841,18,40,7,1:30.585,90585
841,18,41,7,1:30.243,90243
841,18,42,7,1:30.403,90403
841,18,43,7,1:30.411,90411
841,18,44,7,1:30.228,90228
841,18,45,7,1:30.132,90132
841,18,46,7,1:30.177,90177
841,18,47,7,1:30.536,90536
841,18,48,6,1:30.548,90548
841,18,49,6,1:29.883,89883
841,18,50,6,1:30.645,90645
841,18,51,6,1:30.293,90293
841,18,52,6,1:30.098,90098
841,18,53,6,1:30.729,90729
841,18,54,6,1:30.554,90554
841,18,55,6,1:30.106,90106
841,18,56,6,1:30.289,90289
841,18,57,6,1:30.848,90848
841,18,58,6,1:31.203,91203
841,3,1,7,1:45.340,105340
841,3,2,7,1:35.808,95808
841,3,3,7,1:35.436,95436
841,3,4,7,1:35.810,95810
841,3,5,8,1:36.837,96837
841,3,6,8,1:34.856,94856
841,3,7,8,1:34.619,94619
841,3,8,8,1:34.624,94624
841,3,9,8,1:34.691,94691
841,3,10,8,1:34.021,94021
841,3,11,8,1:34.097,94097
841,3,12,6,1:34.862,94862
841,3,13,5,1:34.407,94407
841,3,14,5,1:34.135,94135
841,3,15,5,1:34.473,94473
841,3,16,8,1:54.239,114239
841,3,17,9,1:42.954,102954
841,3,18,9,1:34.939,94939
841,3,19,8,1:34.011,94011
841,3,20,8,1:33.614,93614
841,3,21,8,1:33.503,93503
841,3,22,8,1:34.600,94600
841,155,1,8,1:45.896,105896
841,155,2,9,1:37.118,97118
841,155,3,9,1:35.483,95483
841,155,4,9,1:35.648,95648
841,155,5,9,1:35.633,95633
841,155,6,9,1:35.302,95302
841,155,7,9,1:36.681,96681
841,155,8,9,1:34.520,94520
841,155,9,9,1:34.425,94425
841,155,10,9,1:34.491,94491
841,155,11,9,1:34.586,94586
841,155,12,7,1:34.567,94567
841,155,13,6,1:34.847,94847
841,155,14,6,1:34.342,94342
841,155,15,7,1:35.916,95916
841,155,16,10,1:54.819,114819
841,155,17,10,1:40.585,100585
841,155,18,10,1:32.875,92875
841,155,19,10,1:33.091,93091
841,155,20,9,1:33.333,93333
841,155,21,10,1:34.651,94651
841,155,22,10,1:33.850,93850
841,155,23,7,1:34.158,94158
841,155,24,7,1:32.332,92332
841,155,25,8,1:33.492,93492
841,155,26,8,1:32.662,92662
841,155,27,8,1:32.666,92666
841,155,28,8,1:32.373,92373
841,155,29,8,1:32.164,92164
841,155,30,8,1:32.080,92080
841,155,31,7,1:32.423,92423
841,155,32,11,1:52.120,112120
841,155,33,11,1:39.549,99549
841,155,34,11,1:31.739,91739
841,155,35,11,1:31.269,91269
841,155,36,10,1:31.247,91247
841,155,37,9,1:31.081,91081
841,155,38,9,1:31.339,91339
841,155,39,9,1:31.194,91194
841,155,40,9,1:30.946,90946
841,155,41,9,1:31.027,91027
841,155,42,9,1:31.773,91773
841,155,43,9,1:31.141,91141
841,155,44,9,1:30.818,90818
841,155,45,9,1:30.969,90969
841,155,46,9,1:30.700,90700
841,155,47,9,1:30.735,90735
841,155,48,8,1:30.617,90617
841,155,49,8,1:30.620,90620
841,155,50,8,1:30.696,90696
841,155,51,8,1:30.384,90384
841,155,52,8,1:31.132,91132
841,155,53,8,1:31.237,91237
841,155,54,8,1:31.687,91687
841,155,55,8,1:30.778,90778
841,155,56,8,1:32.265,92265
841,155,57,8,1:31.229,91229
841,155,58,8,1:31.830,91830
841,4,1,9,1:46.144,106144
841,4,2,8,1:36.233,96233
841,4,3,8,1:34.726,94726
841,4,4,8,1:35.355,95355
841,4,5,7,1:34.400,94400
841,4,6,7,1:33.278,93278
841,4,7,7,1:32.903,92903
841,4,8,7,1:33.099,93099
841,4,9,7,1:33.621,93621
841,4,10,7,1:34.053,94053
841,4,11,5,1:34.857,94857
841,4,12,12,1:52.624,112624
841,4,13,13,1:38.812,98812
841,4,14,10,1:32.679,92679
841,4,15,9,1:31.904,91904
841,4,16,6,1:32.289,92289
841,4,17,6,1:32.186,92186
841,4,18,5,1:31.832,91832
841,4,19,5,1:31.958,91958
841,4,20,5,1:31.936,91936
841,4,21,5,1:32.002,92002
841,4,22,5,1:32.336,92336
841,4,23,5,1:31.955,91955
841,4,24,5,1:32.198,92198
841,4,25,5,1:33.475,93475
841,4,26,4,1:32.371,92371
841,4,27,5,1:53.552,113552
841,4,28,6,1:36.900,96900
841,4,29,6,1:30.097,90097
841,4,30,6,1:30.103,90103
841,4,31,5,1:30.081,90081
841,4,32,5,1:30.177,90177
841,4,33,5,1:30.379,90379
841,4,34,5,1:30.356,90356
841,4,35,5,1:30.427,90427
841,4,36,4,1:30.314,90314
841,4,37,4,1:30.739,90739
841,4,38,4,1:30.399,90399
841,4,39,4,1:31.121,91121
841,4,40,4,1:31.094,91094
841,4,41,3,1:31.632,91632
841,4,42,4,1:50.315,110315
841,4,43,4,1:37.745,97745
841,4,44,4,1:30.029,90029
841,4,45,4,1:29.608,89608
841,4,46,4,1:29.840,89840
841,4,47,4,1:29.837,89837
841,4,48,4,1:29.597,89597
841,4,49,4,1:29.487,89487
841,4,50,4,1:29.867,89867
841,4,51,4,1:29.937,89937
841,4,52,4,1:29.657,89657
841,4,53,4,1:29.507,89507
841,4,54,4,1:30.401,90401
841,4,55,4,1:29.529,89529
841,4,56,4,1:29.665,89665
841,4,57,4,1:29.912,89912
841,4,58,4,1:30.501,90501
841,814,1,10,1:47.562,107562
841,814,2,10,1:35.807,95807
841,814,3,10,1:35.741,95741
841,814,4,10,1:35.552,95552
841,814,5,10,1:36.121,96121
841,814,6,10,1:35.223,95223
841,814,7,11,1:37.583,97583
841,814,8,11,1:35.754,95754
841,814,9,11,1:35.045,95045
841,814,10,12,1:36.007,96007
841,814,11,12,1:34.697,94697
841,814,12,11,1:34.991,94991
841,814,13,10,1:35.188,95188
841,814,14,16,1:57.090,117090
841,814,15,17,1:40.248,100248
841,814,16,16,1:33.502,93502
841,814,17,13,1:34.023,94023
841,814,18,13,1:33.436,93436
841,814,19,13,1:33.362,93362
841,814,20,13,1:34.545,94545
841,814,21,13,1:34.172,94172
841,814,22,13,1:33.140,93140
841,814,23,10,1:34.336,94336
841,814,24,10,1:34.067,94067
841,814,25,11,1:35.284,95284
841,814,26,11,1:33.087,93087
841,814,27,11,1:32.923,92923
841,814,28,11,1:32.788,92788
